,Age,BMI,Diastolic_BP,HeartRate,Systolic_BP,Waist_Circumference
count,2816.0,2600.0,2536.0,2551.0,2536.0,1088.0
mean,10.477920801846592,19.524899186916922,67.89944794952682,80.97569580556645,114.64589905362776,27.209558823529413
std,3.6088454083265566,5.094708451987655,12.097489579784305,13.46470321261854,14.329071666115901,5.518407816407133
min,5.003878,9.693766158999999,14.0,46.0,60.0,18.0
25%,7.6151029999999995,15.96974227,60.0,72.0,106.0,23.0
50%,9.816278,18.208079505,67.0,81.0,113.0,26.0
75%,12.8826425,21.7837956375,73.0,89.0,122.0,30.0
max,21.816563000000002,59.13204775,145.0,139.0,203.0,51.0
